Food Item,Raw Material,Quantity
Frankie,Wheat Flour,100g
Frankie,Potatoes,150g
Frankie,Onions,50g
Frankie,Bell Peppers,30g
Frankie,Cheese,20g
Frankie,Butter,10g
Frankie,Mayonnaise,10g
Frankie,Ketchup,10g
Frankie,Chilli Sauce,10g
Frankie,Turmeric,2g
Frankie,Chilli Powder,3g
Frankie,Cumin,2g
Sandwich,Bread,2 slices
Sandwich,Butter,10g
Sandwich,Cheese,20g
Sandwich,Tomato,30g
Sandwich,Cucumber,30g
Sandwich,Lettuce,20g
Sandwich,Mayonnaise,15g
Sandwich,Black Pepper,2g
Vadapav,Pav (Bread Bun),1 piece
Vadapav,Potatoes,100g
Vadapav,Garlic,5g
Vadapav,Chilli Powder,5g
Vadapav,Mustard Seeds,2g
Vadapav,Turmeric,3g
Vadapav,Coriander Leaves,5g
Vadapav,Oil,10ml
Aalopuri,Puri,1 piece
Aalopuri,Potatoes,100g
Aalopuri,Chickpeas,50g
Aalopuri,Tamarind Chutney,20g
Aalopuri,Mint Chutney,20g
Aalopuri,Chaat Masala,5g
Aalopuri,Onions,30g
Panipuri,Puri,6 pieces
Panipuri,Boiled Potatoes,100g
Panipuri,Boiled Chickpeas,50g
Panipuri,Tamarind Water,100ml
Panipuri,Mint Water,100ml
Panipuri,Black Salt,2g
Panipuri,Cumin Powder,2g
Panipuri,Chaat Masala,3g
Cold Coffee,Milk,200ml
Cold Coffee,Coffee Powder,10g
Cold Coffee,Sugar,10g
Cold Coffee,Ice Cubes,5 pieces
Cold Coffee,Chocolate Syrup,10ml
Sugarcane Juice,Fresh Sugarcane,300g
Sugarcane Juice,Lemon Juice,10ml
Sugarcane Juice,Ginger,5g
Sugarcane Juice,Mint Leaves,5g
Sugarcane Juice,Ice Cubes,5 pieces
